ProductId,ProfileName,Summary,Text,
B007GB7PB8,Sandy Kay,Flavor didn't work for me; back to Honey Nut,"I was really looking forward to the Dulce de Leche Cheerios.  The Honey Nut flavor has been my favorite since they came out and the thought of caramel was quite appealing. The first few spoonfuls seemed quite yummy.  But the more I ate, the less I enjoyed it.  The caramel flavor seemed a bit off to me or maybe it was that these are more corn than oat so the flavor was different from that as well.  (Oats are the third ingredient after corn and sugar; I thought Cheerios were always oat cereals.) All things considered (especially price), I'll stick with Honey Nut. They tasted pretty good just plain from the box so I think I'll save them for when I want a slightly sweet snack but not too sugary.  I'll pour out a handful and eat them like a toddler! I expected these to be more sugary than the Honey Nut but these have 6 grams of sugar per serving compared to 9 grams for the Honey Nut.  But they have the same total carbohydrates, 22 grams per serving, so there isn't much difference in how it affects your body. Bottom line:  I won't buy them again.",
B0005ZWBPC,Kimberli,Delicious Treat!!!,"I became addicted to eating these the first time I tasted them which was years ago. Once you eat one, you just can't stop until they're gone. They aren't too sweet and make the perfect snack. I love these things!!!",
B0005ZWBPC,"Ruhama ""Bibliophilia""",Passover treat,"My synagogue's Passover Care Package had some of these candies in it, and WOW are they good!  Americans have little exposure to sesame seeds except atop a burger bun.  Time to taste these nutty little wonders!  Individually wrapped to keep them fresh and slow you down (grins).  Better than peanut brittle any day!  And these are kosher for passover!",
B0043JF3II,Karen R,Not particularly good,"I've had many types of pepper jelly, and this is by far the worst ever. The price is high, and the taste is not good. The shipping was outrageous. More costly than the green pepper jelly. Don't waste you money.",
B0025ULYKI,History buff,Sooo Good!!,"These are some of my favorite chips on the planet! They are light, crisp, & not too greasy. The flavor is very Dilly. Love that! Great chips. Just hard to find.",
B0025ULYKI,Woofie53,These are soooo good!!,"These chips are really good. They taste better than other name brands. They're cheaper too!!  They aren't too salty like other brands. The flavors blend really well. Just the right amount of sour cream and onion flavor with a little salt mixed in. Once I start eating them, it's hard to stop!! LOL I will definitely be buying these potato chips rather than another name brand. Not sure if I can state the name brand or not. :)",
B0025ULYKI,"drhughes ""drhughes""",OPEN BAG OF CHIPS!!!,"4 bags of chips were open when I received the shipment. I am hoping that the chips were blew open during shipment in flight.  No more chips for me through Amazon.  Otherwise,the chips are good to eat and very salty.",
B0025ULYKI,swootchie,college student gourmet,"Not as thick as kettle chips we have had in the past, definitely more like a potato chip and the college crowd loves it.  Interestingly enough they feel more 'gourmet' when eating these. The flavor is not heavily garlic while you can easily taste the cheese.",
B0025ULYKI,Pfred,Uncle rays without much taste,"We have ordered Uncle Rays BBQ chips many times before. Always been pleased, except this order!  Just NOT the same Seasoning as usual. Generally lacked much for taste! Not sure if they have reduced the seasoning, in their processing? But out of case we bought, we have opened and thrown away 3 bags already, VERY disappointed with this order!",
B0025ULYKI,"MadisonVeggie ""Lynette in Wisconsin""",These sure don't taste like ketchup to me!,"I have loved ketchup flavored potato chips since I was a kid and spent my summers at my grandparents in Canada. This is a very popular flavor there and seems to be always available. I recently got back from a trip to Montreal, where I ate at least a pack a day. I decided I really wanted some around and was happy when I found these on Amazon. Unfortunately, the flavor is nowhere close to the brands I've tried before. There's a sort of smoky, barbeque sauce thing going on. Not that they're as good as BBQ potato chips (which I love), they just don't taste like ketchup. I tried to get through a bag over a couple of weeks to see if they would grow on me, then just threw them all out. Yuck!",
B0025ULYKI,Mickey,Great Chips!!,"I thought they were very good chips, delicious!  and as soon as i run out, i'll be ordering more very soon.",
B0025ULYKI,chari,Where's the vinegar?,"After reading all the good reviews on these chips I have to admit I was disappointed. Perhaps I just ended up with a bad batch, but I could barely taste the vinegar and there seemed to be far too many burnt (and I mean BLACK) chips in these bags. Hopefully the other flavors are better, but I'm going to stick with other brands from now on.",
B0025ULYKI,"Jackie D. Depalm ""jackie d""",Uncle Ray's Kosher Dill Potato chips,"These are hard to find, but worth the trouble.  Very tasty and very reasonably priced.  Love the product, and received very quickly.",
B0025ULYKI,charlene crowley,uncle rays barbeque chips,"I love uncle ray's potatoe chips. They have alot of spice on each chip.  They taste spicy with a tang of sweet. When I order a box, I pass them out to friends who love them. My husband, my kids and I eat a whole bag at a time.  I limit myself to ordering only twice ayear. The salt content makes me blow up, but I still love them.",
B0025ULYKI,C. Matas,Not quite Old Dutch but much better than Herr's,"I LOVE Old Dutch Ketchup chips but they are no where to be found in the US and pricey on eBay.  I tried Herr's but they were dull - very ketchupy but not the tangy-vinigary ketchup bite that Old Dutch has (makes your mouth hurt  in a good way if you eat too many!).  Uncle Rays are decent - more of a kick - many ""loaded"" chips which I like, still, not the addictive bite I love.  So - if you love Herr's these may be too much for you.  If you love Old Dutch give these a shot.  I am still on my quest for something equal to Old Dutch!!",
